文章ID,愛心數,文章類型,主要寫作技巧,情感觸發類型,文章長度,有無反轉,使用修辭手法
thread_1001,5052,社會觀察,師生對話/反差,震驚/思考,中,是,對比/反諷
thread_1002,2520,日常生活,幽默誇張,愉悅/好笑,短,否,誇張/比喻
thread_1003,296,人際關係,情境描述,尷尬/幽默,中,否,自嘲
thread_1004,375,人生感悟,格言式表達,省思/警醒,短,否,對比
thread_1005,375,分享心得,列表說明,實用/好奇,長,否,專業術語
thread_1006,3155,關係分享,情境+感悟,共鳴/感傷,中,否,隱喻
thread_1007,1079,新聞,簡要通報,時事關注,短,否,報導型
thread_1008,997,文字圖片,重複結構,思考/有趣,中,是,重複/循環
thread_1009,976,日常生活,語言解析,認同/幽默,短,是,本土文化
thread_1010,1748,圖片分享,圖文內容,視覺吸引,短,否,視覺衝擊
thread_1011,5104,獨特觀點,格言式,頓悟/共鳴,超短,是,反諷/對比
thread_1012,4278,幽默問答,問答形式,幽默/驚喜,超短,是,歷史反諷
thread_1013,1148,聊天內容,對話摘錄,八卦/好奇,中,否,生活戲劇
thread_1014,1569,幽默分享,新聞模仿,幽默/諷刺,短,是,模仿/反諷
thread_1015,269,記分呱,觀察分析,認同/幽默,短,是,消費心理
thread_1016,2461,新聞,簡明報導,時事關注,短,否,報導型
thread_1017,540,職場經驗,情境+結論,警醒/共鳴,中,是,對比/暗喻
thread_1018,241,新聞,簡要通報,警醒/健康,短,否,誇張標題
thread_1019,569,生活感想,平行結構,共鳴/頓悟,超短,否,對比
thread_1020,151,圖片分享,簡短評論,專業興趣,超短,否,專業參考
